TDP,Strategy,Iteration,SuccessRate,AppSetSchedulability,TotalExecutionTime,AverageExecutionTime,CriticalPathLength,Hyperperiod,TotalTasks,ScheduledTasks,Makespan,AlgorithmRuntimeMs
10.00,1,42,1.000000,1.0,95.0,1.2,5.4,40.0,80,0,0,135
10.00,2,43,1.000000,1.0,95.0,1.2,5.4,40.0,80,0,0,131
10.00,3,44,1.000000,1.0,95.0,1.2,5.4,40.0,80,0,0,132
10.00,4,45,1.000000,1.0,95.0,1.2,5.4,40.0,80,0,0,130
10.00,0,46,1.000000,1.0,92.0,1.1,5.6,40.0,80,0,0,127
10.00,1,47,1.000000,1.0,92.0,1.1,5.6,40.0,80,0,0,126
10.00,2,48,1.000000,1.0,92.0,1.1,5.6,40.0,80,0,0,130
10.00,3,49,1.000000,1.0,92.0,1.1,5.6,40.0,80,0,0,127
10.00,4,50,1.000000,1.0,92.0,1.1,5.6,40.0,80,0,0,134
30.00,0,1,0.200000,0.0,92.0,1.1,5.6,40.0,80,32,58,247
30.00,1,2,0.300000,0.0,92.0,1.1,5.6,40.0,80,48,71,243
30.00,2,3,0.300000,0.0,92.0,1.1,5.6,40.0,80,48,70,233
30.00,3,4,0.300000,0.0,92.0,1.1,5.6,40.0,80,48,72,246
30.00,4,5,0.300000,0.0,92.0,1.1,5.6,40.0,80,48,75,233
30.00,0,6,0.200000,0.0,92.0,1.1,5.6,40.0,80,32,57,237
30.00,1,7,0.200000,0.0,92.0,1.1,5.6,40.0,80,32,62,226
30.00,2,8,0.300000,0.0,92.0,1.1,5.6,40.0,80,48,72,234
30.00,3,9,0.200000,0.0,92.0,1.1,5.6,40.0,80,32,60,238
30.00,4,10,0.200000,0.0,92.0,1.1,5.6,40.0,80,32,66,254
30.00,0,11,0.300000,0.0,111.0,1.4,8.6,40.0,80,48,73,247
30.00,1,12,0.300000,0.0,111.0,1.4,8.6,40.0,80,48,71,251
30.00,2,13,0.200000,0.0,111.0,1.4,8.6,40.0,80,32,64,250
30.00,3,14,0.300000,0.0,111.0,1.4,8.6,40.0,80,48,75,247
30.00,4,15,0.200000,0.0,111.0,1.4,8.6,40.0,80,32,61,248
30.00,0,16,0.300000,0.0,112.0,1.4,8.4,40.0,80,48,73,251
30.00,1,17,0.200000,0.0,112.0,1.4,8.4,40.0,80,32,69,248
30.00,2,18,0.200000,0.0,112.0,1.4,8.4,40.0,80,32,70,241
30.00,3,19,0.200000,0.0,112.0,1.4,8.4,40.0,80,32,72,233
30.00,4,20,0.200000,0.0,112.0,1.4,8.4,40.0,80,32,57,255
30.00,0,21,0.200000,0.0,104.0,1.3,6.8,40.0,80,32,62,244
30.00,1,22,0.200000,0.0,104.0,1.3,6.8,40.0,80,32,58,239
30.00,2,23,0.300000,0.0,104.0,1.3,6.8,40.0,80,48,74,247
30.00,3,24,0.200000,0.0,104.0,1.3,6.8,40.0,80,32,72,235
30.00,4,25,0.200000,0.0,104.0,1.3,6.8,40.0,80,32,67,217
30.00,0,26,0.200000,0.0,107.0,1.3,7.0,40.0,80,32,56,235
30.00,1,27,0.300000,0.0,107.0,1.3,7.0,40.0,80,48,75,241
30.00,2,28,0.200000,0.0,107.0,1.3,7.0,40.0,80,32,56,245
30.00,3,29,0.300000,0.0,107.0,1.3,7.0,40.0,80,48,75,243
